id,city,city_ascii,state_id,state_name,county_name,lat,lng,population
12952,Avalon,Avalon,NJ,New Jersey,Cape May,39.0906,-74.7356,1456
12953,Seabrook,Seabrook,SC,South Carolina,Beaufort,32.5227,-80.7479,1456
12954,Oakland,Oakland,PA,Pennsylvania,Lawrence,40.9914,-80.3671,1456
12955,Keshena,Keshena,WI,Wisconsin,Menominee,44.8697,-88.6002,1455
12956,Avila Beach,Avila Beach,CA,California,San Luis Obispo,35.1969,-120.7191,1455
12957,Burlington,Burlington,ND,North Dakota,Ward,48.2572,-101.4146,1455
12958,Buckhead Ridge,Buckhead Ridge,FL,Florida,Glades,27.1331,-80.8868,1455
12959,Forest,Forest,OH,Ohio,Hardin,40.8051,-83.5116,1455
12960,Griggsville,Griggsville,IL,Illinois,Pike,39.7078,-90.7276,1454
12961,Long Creek,Long Creek,IL,Illinois,Macon,39.8053,-88.8474,1454
12962,Noank,Noank,CT,Connecticut,New London,41.3339,-71.9978,1454
12963,Stratford,Stratford,WI,Wisconsin,Marathon,44.8009,-90.0722,1454
12964,Goodman,Goodman,MO,Missouri,McDonald,36.7388,-94.4091,1454
12965,Head of the Harbor,Head of the Harbor,NY,New York,Suffolk,40.8981,-73.1624,1454
12966,Babbitt,Babbitt,MN,Minnesota,St. Louis,47.6443,-91.9461,1454
